"id","sid","2015-10-08 00:05:00","2015-10-08 00:12:00","2015-10-08 00:34:00","2015-10-08 00:40:00","2015-10-08 01:32:00","2015-10-08 01:52:00","2015-10-08 02:52:00","2015-10-08 02:58:00","2015-10-08 04:13:00","2015-10-08 04:30:00","2015-10-08 05:58:00","2015-10-08 06:16:00","2015-10-08 06:41:00","2015-10-08 06:54:00","2015-10-08 07:07:00","2015-10-08 07:25:00","2015-10-08 07:38:00","2015-10-08 07:52:00","2015-10-08 08:05:00","2015-10-08 08:18:00","2015-10-08 08:31:00","2015-10-08 08:44:00","2015-10-08 08:57:00","2015-10-08 09:10:00","2015-10-08 09:22:00","2015-10-08 09:35:00","2015-10-08 09:48:00","2015-10-08 10:00:00","2015-10-08 10:12:00","2015-10-08 10:24:00","2015-10-08 10:37:00","2015-10-08 10:49:00","2015-10-08 11:03:00","2015-10-08 11:18:00","2015-10-08 11:33:00","2015-10-08 11:48:00","2015-10-08 12:02:00","2015-10-08 12:17:00","2015-10-08 12:32:00","2015-10-08 12:47:00","2015-10-08 12:59:00","2015-10-08 13:12:00","2015-10-08 13:24:00","2015-10-08 13:37:00","2015-10-08 13:49:00","2015-10-08 14:02:00","2015-10-08 14:15:00","2015-10-08 14:28:00","2015-10-08 14:40:00","2015-10-08 14:53:00","2015-10-08 15:07:00","2015-10-08 15:20:00","2015-10-08 15:33:00","2015-10-08 15:46:00","2015-10-08 15:59:00","2015-10-08 16:13:00","2015-10-08 16:26:00","2015-10-08 16:39:00","2015-10-08 16:52:00","2015-10-08 17:06:00","2015-10-08 17:19:00","2015-10-08 17:32:00","2015-10-08 17:53:00","2015-10-08 18:12:00","2015-10-08 18:25:00","2015-10-08 18:38:00","2015-10-08 18:51:00","2015-10-08 19:04:00","2015-10-08 19:17:00","2015-10-08 19:30:00","2015-10-08 19:43:00","2015-10-08 19:55:00","2015-10-08 20:08:00","2015-10-08 20:21:00","2015-10-08 20:39:00","2015-10-08 20:53:00","2015-10-08 21:03:00","2015-10-08 21:18:00","2015-10-08 21:29:00","2015-10-08 21:41:00","2015-10-08 21:53:00","2015-10-08 22:04:00","2015-10-08 22:16:00","2015-10-08 22:27:00","2015-10-08 22:38:00","2015-10-08 22:56:00","2015-10-08 23:04:00","2015-10-08 23:16:00","2015-10-08 23:24:00","2015-10-08 23:35:00","2015-10-08 23:50:00","2015-10-08 23:56:00"
"36",236,"32","37","36","36","32","32","32","32","34","34","36","36","35","34","34","33","31","28","27","28","23","15","10","6","0","0","0","1","19","16","14","9","8","6","3","6","3","1","2","2","4","1","3","3","0","0","8","23","21","19","17","18","19","18","16","16","14","14",NA,"15","16","17","22","28","35","9","34","34","32","8",NA,"32","31","33","34","33","31","33","34","31","33","33","32","33","33","32","32","33","34","33",NA,"29"
"37",237,"33","33","34","33","32","31","34","34","34","33","30","27","27","26","25","24","20","17","17","14","15","4","1","0","1","0","0","0","0","0","0","0","3","1","1","0","0","1","0","3","3","4","4","3","3","4","0","1","0","0","0","0","0","0","3","2","0","3","5","7","5","6","9","15","16","21","27","32","37","37","37","35","37","34","26","29","32","33","33","35","35","36","37","36","37","36","37","35","33","33","34","34"
"38",238,"24","24","24","24","24","24","24","24","24","24","24","24","24","23","24","24","18","15","14","10","7","1","1","2","2","2","1","1","1","0","1","1","3","2","3","3","6","7","7","3","3","1","3","4","5","5","5","6","7","4","4","3","3","5","5","5","4","6","7","6","12","12","20","21","24","27","29","29","27","28","28","28","28","27","27","27","29","29","29","28","28","29","29","29","28","28","28","28","28","28","28","28"
"39",239,"0","0","0","0","0","0","0","0","0","0","0","1","4","4","4","4","5","6","9","11","11","23","27","28","29","29","29","28","28","28","28","28","27","27","27","28","29","28","28","26","29","28","28","28","27","25","24","25","25","26","26","25","27","28","29","29","30","30","28","28","26","27","26","22","21","15","15","12","13","13","12","10","9","7","3","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40",241,"6","6","6","6","6","6","6","6","6","6","6","6","5","5","6","5","4","4","3","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","1","1","1","1","0","0","1","1","0","0","0","0","0","0","1","1","0","1","0","0","1","2","2","3","5","4","3","3","3","4","3","3","3","3","3","3","3","4","4","4","6","6","7","7","7"
"41",242,"15","15","15","15","14","14","14","14","14","14","14","14","14","14","14","14","13","12","12","12","12","11","11","11","12","13","13","15","13","14","14","13","14","13","13","14","14","14","14","12","11","12","10","10","11","11","12","10","10","10","10","8","6","7","7","7","7","6","7","7","6","6","6","5","3","4","4","1","0","0","0","1","1","1","2","2","6","6","6","6","7","8","8","9","9","9","9","9","9","10","10","10"
"42",243,"4","4","4","3","3","3","3","3","3","3","3","4","4","4","4","4","3","2","3","3","7","13","18","18","21","24","22","22","22","22","22","22","23","23","24","24","24","24","24","24","23","23","23","23","23","23","23","23","24","24","22","22","22","22","22","22","22","23","23","22","23","23","22","20","22","22","19","18","17","18","16","16","14","14","14","14","12","11","11","11","10","10","9","9","9","9","9","5","5","5","5","5"
"43",244,"17","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","18","16","16","12","11","6","6","4","4","3","2","2","1","1","0","0","0","0","0","0","0","0","0","3","4","6","6","5","3","4","3","2","2","1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","0","2","3","3","1","0","2","5","6","8","8","8","9","9","9","9","10","9","10","10","10","10","10","9","9","9","10","9"
"44",245,"6","6","6","6","6","6","6","6","6","6","6","6","6","5","5","4","4","3","2","2","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","5","5","7","7","7","6","6","5","5","5","5","5","5","4","3","3","3","3","3","3","3","3","4","4","6","7","7","9","10","10","11","12","12","11","11","11","13","13","14","14","13","13","13","13","13","13","14","13","13","13","13","12","14","13","14"
"45",247,"14","14","13","13","13","12","14","14","12","12","12","12","10","7","6","6","4","5","5","5","3","0","1","2","1","3","1","1","0","0","1","2","4","4","4","0","0","0","2","5","3","2","1","2","1","1","0","0","3","0","0","0","2","5","2","6","11","11","12","11","13","15","18","18","17","17","18","17","17","17","14","17","17","17","17","17","17","15","16","17","16","17","15","15","17","16","17","17","17","17","17","17"
